OPEID,INSTNM,CITY,STATE,TOTAL FWS SUPPLEMENTAL INCREASE
1146200,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,"6,127.00"
106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,"7,131.00"
100200,"ALABAMA AGRICULTURAL &MECHANICAL UNIVERSITY",NORMAL,AL,"16,840.00"
100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,"11,983.00"
2503400,AMRIDGE UNIVERSITY,MONTGOMERY,AL,"1,667.00"
100900,AUBURN UNIVERSITY,AUBURN,AL,"36,622.00"
831000,AUBURN UNIVERSITY MONTGOMERY,MONTGOMERY,AL,"7,624.00"
101200,BIRMINGHAM-SOUTHERN COLLEGE,BIRMINGHAM,AL,"4,625.00"
106000,"COASTAL ALABAMA COMMUNITYCOLLEGE",BAY MINETTE,AL,"4,286.00"
1055400,CONCORDIA COLLEGE ALABAMA,SELMA,AL,"1,040.00"
100300,FAULKNER UNIVERSITY,MONTGOMERY,AL,"14,935.00"
101800,"GEORGE C. WALLACE COMMUNITYCOLLEGE",DOTHAN,AL,"4,454.00"
101900,HUNTINGDON COLLEGE,MONTGOMERY,AL,"2,106.00"
102000,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,"11,256.00"
898800,"LURLEEN B. WALLACE COMMUNITYCOLLEGE",ANDALUSIA,AL,844
102600,MARION MILITARY INSTITUTE,MARION,AL,511
102800,MILES COLLEGE,FAIRFIELD,AL,"4,349.00"
103300,OAKWOOD UNIVERSITY,HUNTSVILLE,AL,"3,095.00"
103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,"28,866.00"
104100,SPRING HILL COLLEGE,MOBILE,AL,"6,361.00"
104400,STILLMAN COLLEGE,TUSCALOOSA,AL,"1,599.00"
104600,TALLADEGA COLLEGE,TALLADEGA,AL,"1,952.00"
104700,TROY UNIVERSITY,TROY,AL,"36,934.00"
105000,TUSKEGEE UNIVERSITY,"TUSKEGEEINSTITUTE",AL,"10,203.00"
105100,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,"47,409.00"
105200,"UNIVERSITY OF ALABAMA ATBIRMINGHAM",BIRMINGHAM,AL,"49,254.00"
105500,"UNIVERSITY OF ALABAMA INHUNTSVILLE",HUNTSVILLE,AL,"8,086.00"
102900,UNIVERSITY OF MOBILE,MOBILE,AL,"3,754.00"
100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,"4,266.00"
101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,"7,621.00"
102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,"11,131.00"
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,"1,966.00"
109000,ARKANSAS STATE UNIVERSITY,JONESBORO,AR,"19,561.00"
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,"12,730.00"
109700,HARDING UNIVERSITY,SEARCY,AR,"10,813.00"
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,"5,408.00"
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,"6,108.00"
108800,LYON COLLEGE,BATESVILLE,AR,"1,883.00"
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,"2,912.00"
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,"1,565.00"
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,"5,253.00"
110800,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,"25,380.00"
110100,"UNIVERSITY OF ARKANSAS AT LITTLEROCK",LITTLE ROCK,AR,"17,864.00"
108500,"UNIVERSITY OF ARKANSAS ATMONTICELLO",MONTICELLO,AR,"5,085.00"
108600,"UNIVERSITY OF ARKANSAS AT PINEBLUFF",PINE BLUFF,AR,"4,993.00"
110900,"UNIVERSITY OF ARKANSAS FORMEDICAL SCIENCES",LITTLE ROCK,AR,"16,927.00"
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,"13,948.00"
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,"1,882.00"
108100,ARIZONA STATE UNIVERSITY,TEMPE,AZ,"195,060.00"
107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,"239,015.00"
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,"38,133.00"
2217100,PIMA MEDICAL INSTITUTE,TUCSON,AZ,"15,798.00"
2177500,RIO SALADO COMMUNITY COLLEGE,TEMPE,AZ,"3,590.00"
108300,UNIVERSITY OF ARIZONA (THE),TUCSON,AZ,"93,709.00"
753100,ACADEMY OF ART UNIVERSITY,SAN FRANCISCO,CA,"35,099.00"
111600,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,"10,054.00"
111700,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,"53,182.00"
716400,BRYAN UNIVERSITY,TEMPE,CA,"4,638.00"
112500,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,"36,537.00"
113100,"CALIFORNIA INSTITUTE OFTECHNOLOGY",PASADENA,CA,"3,644.00"
113200,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,"11,139.00"
115300,"CALIFORNIA STATE UNIVERSITY,NORTHRIDGE",NORTHRIDGE,CA,"63,923.00"
116400,CHAPMAN UNIVERSITY,ORANGE,CA,"52,093.00"
